episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,800,64.67,100,486,47.5,1,0,1,0.096,0.005,0.0,0.0
2,864,16.63,108,468,45.7,1,0,1,0.141,0.005,0.0,0.0
3,1024,5.28,128,432,42.2,1,0,1,0.04,0.005,0.0,0.0
4,1112,49.14,139,477,46.6,1,0,1,0.203,0.005,0.0,0.0
5,1192,-19.0,49,194,18.9,1,0,1,0.093,0.005,0.0,0.0
6,1664,-2.91,59,204,19.9,1,0,1,0.206,0.005,0.0,0.0
7,1960,66.31,245,498,48.6,1,0,1,0.173,0.005,0.0,0.0
8,2208,3.55,31,211,20.6,1,0,1,0.171,0.005,0.0,0.0
9,2576,-78.69,322,272,26.6,1,0,1,0.176,0.005,0.0,0.0
10,3288,34.12,89,406,39.6,1,0,1,0.2,0.005,0.0,0.0
11,3392,-12.22,216,210,20.5,1,0,1,0.159,0.005,0.0,0.0
12,3656,295.53,457,565,55.2,2,0,1,0.1,0.005,0.0,0.0
13,3656,-10.92,33,203,19.8,1,0,1,0.137,0.005,0.0,0.0
14,3848,77.97,342,486,47.5,1,0,1,0.176,0.005,0.0,0.0
15,3936,50.49,216,446,43.6,1,0,1,0.151,0.005,0.0,0.0
16,4216,-5.8,116,189,18.5,1,0,1,0.147,0.005,0.0,0.0
17,4224,-28.03,71,273,26.7,1,0,1,0.143,0.005,0.0,0.0
18,4440,-4.74,74,203,19.8,1,0,1,0.167,0.005,0.0,0.0
19,4800,-17.36,600,316,30.9,1,0,0,1.013,0.005,0.0,0.0
20,5240,-2.92,163,442,43.2,1,0,1,0.168,0.005,0.0,0.0
21,5592,-12.92,99,278,27.1,1,0,1,0.092,0.005,0.0,0.0
22,5664,125.8,600,511,49.9,1,0,0,0.563,0.005,0.0,0.0
23,5824,18.76,600,472,46.1,1,0,0,0.815,0.005,0.0,0.0
24,5832,38.22,201,431,42.1,1,0,1,0.19,0.005,0.0,0.0
25,6160,-9.78,313,415,40.5,1,0,1,0.184,0.005,0.0,0.0
26,6168,55.2,63,469,45.8,1,0,1,0.168,0.005,0.0,0.0
27,6320,20.33,235,299,29.2,1,0,1,0.192,0.005,0.0,0.0
28,6360,5.1,25,214,20.9,1,0,1,0.163,0.005,0.0,0.0
29,6664,13.17,134,439,42.9,1,0,1,0.015,0.005,0.0,0.0
30,6944,7.9,341,302,29.5,1,0,1,0.203,0.005,0.0,0.0
31,7160,-18.93,27,202,19.7,1,0,1,0.12,0.005,0.0,0.0
32,7320,2.95,144,284,27.7,1,0,1,0.125,0.005,0.0,0.0
33,7656,17.89,62,219,21.4,1,0,1,0.0,0.005,0.0,0.0
34,7840,-10.45,147,434,42.4,1,0,1,0.166,0.005,0.0,0.0
35,8128,20.15,101,473,46.2,1,0,1,0.186,0.005,0.0,0.0
36,8224,39.16,71,231,22.6,1,0,1,0.159,0.005,-0.0142,101.525
